CD_MUN,CIDADE,UF,LAT,LON
1100015,Alta Floresta D'Oeste,RO,-11.929405,-61.999824
1100023,Ariquemes,RO,-9.916701,-63.040025
1100031,Cabixi,RO,-13.347918,-60.613481
1100049,Cacoal,RO,-11.361437,-61.317243
1100056,Cerejeiras,RO,-13.195837,-60.818358
1100064,Colorado do Oeste,RO,-13.130688,-60.580483
1100072,Corumbiara,RO,-13.197647,-61.184535
1100080,Costa Marques,RO,-12.541863,-64.190234
1100098,Espigão D'Oeste,RO,-11.524692,-61.039783
1100106,Guajará-Mirim,RO,-10.794807,-65.209498
1100114,Jaru,RO,-10.479697,-62.47061
1100122,Ji-Paraná,RO,-10.922483,-61.950242
1100130,Machadinho D'Oeste,RO,-9.380569,-62.176995
1100148,Nova Brasilândia D'Oeste,RO,-11.745024,-62.000039
1100155,Ouro Preto do Oeste,RO,-10.712485,-62.250551
1100189,Pimenta Bueno,RO,-11.755623,-60.906781
1100205,Porto Velho,RO,-9.785231,-64.596754
1100254,Presidente Médici,RO,-11.206989,-61.842798
1100262,Rio Crespo,RO,-9.607007,-62.663569
1100288,Rolim de Moura,RO,-11.651611,-61.768564
1100296,Santa Luzia D'Oeste,RO,-11.907337,-61.784841
1100304,Vilhena,RO,-12.763611,-60.243663
1100320,São Miguel do Guaporé,RO,-11.70992,-62.680683
1100338,Nova Mamoré,RO,-10.393887,-64.681108
1100346,Alvorada D'Oeste,RO,-11.242631,-62.414387
1100379,Alto Alegre dos Parecis,RO,-12.174142,-61.800444
1100403,Alto Paraíso,RO,-9.705009,-63.377058
1100452,Buritis,RO,-10.230399,-63.795354
1100502,Novo Horizonte do Oeste,RO,-11.700969,-61.994406
1100601,Cacaulândia,RO,-10.228862,-62.904509
1100700,Campo Novo de Rondônia,RO,-10.567843,-63.713638
1100809,Candeias do Jamari,RO,-9.391804,-63.622135
1100908,Castanheiras,RO,-11.472265,-61.948335
1100924,Chupinguaia,RO,-12.555988,-60.722571
1100940,Cujubim,RO,-9.006254,-62.428148
1101005,Governador Jorge Teixeira,RO,-10.510733,-62.942746
1101104,Itapuã do Oeste,RO,-9.172624,-63.236495
1101203,Ministro Andreazza,RO,-11.127105,-61.512552
1101302,Mirante da Serra,RO,-10.99478,-62.623227
1101401,Monte Negro,RO,-10.251983,-63.266717
1101435,Nova União,RO,-10.905551,-62.482809
1101450,Parecis,RO,-12.118593,-61.595814
1101468,Pimenteiras do Oeste,RO,-13.407366,-61.27289
1101476,Primavera de Rondônia,RO,-11.832628,-61.303848
1101484,São Felipe D'Oeste,RO,-11.898925,-61.501468
1101492,São Francisco do Guaporé,RO,-12.018553,-63.267083
1101500,Seringueiras,RO,-11.85234,-62.98052
1101559,Teixeirópolis,RO,-10.932655,-62.237163
1101609,Theobroma,RO,-10.216244,-62.355905
1101708,Urupá,RO,-11.119263,-62.349777
1101757,Vale do Anari,RO,-9.880628,-62.131927
1101807,Vale do Paraíso,RO,-10.421387,-62.179986
1200013,Acrelândia,AC,-9.823373,-66.939077
1200054,Assis Brasil,AC,-10.945877,-69.523445
1200104,Brasiléia,AC,-11.071157,-68.622144
1200138,Bujari,AC,-9.817895,-68.016842
1200179,Capixaba,AC,-10.552901,-67.998888
1200203,Cruzeiro do Sul,AC,-7.669864,-72.587699
1200252,Epitaciolândia,AC,-11.014731,-68.836745
1200302,Feijó,AC,-8.185782,-70.25536
1200328,Jordão,AC,-9.180335,-71.902551
1200336,Mâncio Lima,AC,-7.801807,-73.784394
1200344,Manoel Urbano,AC,-8.85549,-69.259587
1200351,Marechal Thaumaturgo,AC,-8.908443,-72.592705
1200385,Plácido de Castro,AC,-10.364757,-67.258273
1200393,Porto Walter,AC,-8.665194,-72.608231
1200401,Rio Branco,AC,-10.196649,-67.647633
1200427,Rodrigues Alves,AC,-7.854753,-72.727864
1200435,Santa Rosa do Purus,AC,-9.19052,-70.50353
1200450,Senador Guiomard,AC,-10.147944,-67.488096
1200500,Sena Madureira,AC,-9.065579,-68.563059
1200609,Tarauacá,AC,-8.235311,-71.155249
1200708,Xapuri,AC,-10.651047,-68.44056
1200807,Porto Acre,AC,-9.601079,-67.517098
1300029,Alvarães,AM,-4.008077,-64.8756
1300060,Amaturá,AM,-3.363136,-68.131884
1300086,Anamã,AM,-3.580526,-61.421847
1300102,Anori,AM,-3.970889,-61.694218
1300144,Apuí,AM,-7.386964,-59.510114
1300201,Atalaia do Norte,AM,-5.892426,-71.25777
1300300,Autazes,AM,-3.888234,-59.295016
1300409,Barcelos,AM,-0.429712,-63.828826
1300508,Barreirinha,AM,-2.757998,-57.240459
1300607,Benjamin Constant,AM,-4.39826,-69.590367
1300631,Beruri,AM,-4.246089,-62.542316
1300680,Boa Vista do Ramos,AM,-2.81016,-57.560521
1300706,Boca do Acre,AM,-8.697491,-67.443098
1300805,Borba,AM,-5.326364,-59.975829
1300839,Caapiranga,AM,-3.487709,-61.856209
1300904,Canutama,AM,-6.521599,-64.394243
1301001,Carauari,AM,-5.700631,-66.893322
1301100,Careiro,AM,-4.399368,-60.544808
1301159,Careiro da Várzea,AM,-3.144148,-59.557458
1301209,Coari,AM,-4.97572,-63.246531
1301308,Codajás,AM,-3.690204,-62.268435
1301407,Eirunepé,AM,-6.632823,-69.783627
1301506,Envira,AM,-7.437796,-70.137234
1301605,Fonte Boa,AM,-2.978914,-66.004554
1301654,Guajará,AM,-7.37987,-72.921124
1301704,Humaitá,AM,-7.282933,-63.344572
1301803,Ipixuna,AM,-7.2902,-71.921351
1301852,Iranduba,AM,-3.245038,-60.226381
1301902,Itacoatiara,AM,-3.154543,-58.295491
1301951,Itamarati,AM,-6.269119,-68.426564
1302009,Itapiranga,AM,-2.678605,-58.039605
1302108,Japurá,AM,-1.863063,-69.015725
1302207,Juruá,AM,-3.761097,-66.000889
1302306,Jutaí,AM,-4.096306,-68.914939
1302405,Lábrea,AM,-8.308709,-65.510992
1302504,Manacapuru,AM,-3.456856,-60.871093
1302553,Manaquiri,AM,-3.563563,-60.514924
1302603,Manaus,AM,-2.966701,-60.012705
1302702,Manicoré,AM,-6.107318,-60.469102
1302801,Maraã,AM,-1.817055,-65.318312
1302900,Maués,AM,-4.358018,-57.557515
1303007,Nhamundá,AM,-1.960349,-57.365107
1303106,Nova Olinda do Norte,AM,-3.688302,-59.093994
1303205,Novo Airão,AM,-2.581175,-61.053527
1303304,Novo Aripuanã,AM,-5.415396,-60.37136
1303403,Parintins,AM,-2.62885,-56.736303
1303502,Pauini,AM,-7.880351,-67.845818
1303536,Presidente Figueiredo,AM,-1.946878,-60.360423
1303569,Rio Preto da Eva,AM,-2.654649,-59.449251
1303601,Santa Isabel do Rio Negro,AM,-0.324915,-66.732329
